Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,anomaly
23831301UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2100,,5300149486.0,0.0,1,28,10102000,ST,0
36020072,701098,,0,0,0,0,F,,279,279.0,Z001,Y4,40,15535,1,E15,3000,,5300102998.0,3.0,1,35,020000000,ST,0
33347025,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2100,,5300046106.0,0.0,1,28,140300000,ST,0
00341596,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Y4,50,45318,1,E13,3000,3000.0,5300122850.0,0.0,1,98,080100000,ST,0
23674905,700000,,0,0,0,0,F,,723,723.0,Z001,X3,90,4122,100,E20,2000,,5300111856.0,0.0,1,28,010502000,ST,0
28075900UB,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z3,0,0,1,,3000,3000.0,5300262226.0,0.0,1,35,10401000,ST,0
00150097,702587,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2100,,5300015399.0,0.0,1,28,140700000,ST,1
23021900UB,700119,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E15,2000,,5300085601.0,0.0,1,42,10401000,ST,0
499969,700185,,0,0,0,0,F,,203,203.0,Z012,Y2,100,2223,1,E15,3000,,5300050370.0,0.0,1,21,130000000,ST,0
04105299,708105,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300135459.0,0.0,1,49,071000000,ST,0
60030490,704926,,0,0,0,0,F,,223,223.0,Z001,Z6,0,0,1,,2000,,5300385299.0,0.0,1,56,10401000,ST,0
60013037,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z1,0,0,1,,3000,3000.0,5300367053.0,0.0,1,42,10402000,ST,0
00400099,700464,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2100,,5300016472.0,0.0,1,14,010201000,MM,0
34991101UB,2100,,0,0,0,0,F,41.0,202,202.0,Z011,Z5,0,0,1,,2000,2000.0,5300199867.0,0.0,1,168,40100000,ST,0
95193451UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300313543.0,0.0,1,999,60200000,ST,0
00310935,2000,,0,0,0,0,F,40.0,233,233.0,Z003,Z5,0,0,1,,2100,2100.0,5300091436.0,0.0,1,3,110200000,ST,0
04008267,1900,,0,0,0,0,F,,277,277.0,Z001,Z1,20,262,100,,3000,,5300354866.0,0.0,1,26,120000000,ST,0
00260276,700985,5500007107.0,10,7,7,56,F,,703,703.0,Z005,Y2,690,307,100,E13,2100,,5300108957.0,0.0,1,42,90300000,ST,0
00310531,700131,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300002431.0,0.0,1,84,010102000,ST,0
00360226,701806,5500006832.0,10,4,4,60,F,,708,708.0,Z011,V5,2470,130,100,E98,2100,,5300393707.0,0.0,2,14,140100000,ST,0
60049368,715646,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E11,2000,,5300464066.0,0.0,1,28,10102000,ST,0
28140700UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,3000,,5300092906.0,0.0,1,3,10403000,ST,0
04005959,702813,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300124667.0,0.0,1,84,130600000,ST,0
34081004,2000,,0,0,0,0,F,40.0,233,233.0,Z012,Z2,0,0,1,,3000,3000.0,5300277093.0,0.0,1,35,60100000,ST,0
00180107,704035,,0,0,0,0,F,,215,215.0,Z012,Y4,485987,109201,1000,E13,3000,,5300095035.0,0.0,1,28,100300000,MM,0
80650511,702590,,0,0,0,0,F,,203,203.0,Z008,Y6,0,0,100,E11,2000,,5300326665.0,0.0,1,14,520100000,ST,0
00385796,703870,,0,0,0,0,F,,707,707.0,Z012,Z3,3740,240558,1,,2000,,5300123078.0,0.0,1,1,040300000,ST,1
34362700UB,704276,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E14,2000,,5300092448.0,0.0,1,42,10403000,ST,0
95143350UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z1,0,0,100,,3000,3000.0,5300306376.0,0.0,1,42,010401000,ST,0
33600209,2000,,0,0,0,0,F,72.0,233,233.0,Z012,Z1,0,0,1,,3000,3000.0,5300275012.0,0.0,1,35,60100000,ST,0
24480200,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300247810.0,0.0,1,42,10402000,ST,0
34072901,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300277070.0,0.0,1,42,40000000,ST,0
00370721,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,0,0,100,E11,2100,,5300185211.0,0.0,1,21,140100000,ST,0
24472703,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300247613.0,0.0,1,42,010102000,ST,0
00240149,700223,,0,0,0,0,F,,208,208.0,Z011,Y2,0,0,1,E13,2000,,5300009994.0,0.0,1,56,090100000,ST,0
23482403,2100,,0,0,0,0,F,41.0,233,233.0,Z011,Y4,0,0,1,E13,2000,3000.0,5300197804.0,0.0,1,3,060100000,ST,0
34950400UB,1000,,0,0,0,0,F,,991,991.0,Z008,Z6,0,0,1,,2000,,5300048667.0,0.0,1,42,10402000,ST,0
96031400,700909,,0,0,0,0,F,,233,233.0,Z001,Y3,0,0,1,E15,2100,,5300046031.0,0.0,1,56,010401000,ST,0
28122528,2000,,0,0,0,0,F,,213,213.0,Z008,Z1,2050,129491,100,,3000,3000.0,5300262709.0,0.0,1,98,060100000,ST,0
60119734,708008,,0,0,0,0,F,,206,206.0,Z001,Z7,2000,15753,100,,2000,,5300543643.0,0.0,1,30,520200000,ST,0
60021824,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,95850,74284,100,E14,2000,,5300374739.0,0.0,1,70,100202000,ST,1
60121399,708038,,0,0,0,0,F,40.0,217,217.0,Z001,Z1,0,0,1,,2100,,5300547973.0,0.0,1,2,080100000,ST,0
35194304,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300199919.0,0.0,1,42,010304000,ST,0
34366500UB,702225,,0,0,0,0,F,,213,213.0,Z008,Z3,0,0,1,,2100,,5300056058.0,0.0,1,56,10405000,ST,0
24737574UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,250,3275,1,,2000,,5300171166.0,0.0,1,28,010101000,ST,1
23772604,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z2,200,689,100,,3000,3000.0,5300237546.0,0.0,1,35,010102000,ST,0
95154266UB,702225,,0,0,0,0,F,,221,221.0,Z001,Y4,0,0,1,E13,2100,,5300164977.0,0.0,1,42,10102000,ST,0
00120651,705086,,0,0,0,0,F,,708,708.0,Z010,Y2,400,6408,1,E15,2100,,5300359672.0,0.0,1,42,070400000,ST,0
04007512,1900,,0,0,0,0,F,,989,989.0,Z001,Z1,0,0,100,,2100,,5300177952.0,0.0,1,5,100202000,ST,0
00341579,1900,,0,0,0,0,F,,206,206.0,Z001,Y4,0,0,1,E11,2000,,5300124013.0,0.0,1,5,080100000,ST,0
00111091,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y5,0,0,1,E12,3000,3000.0,5300201658.0,0.0,1,84,70700000,ST,1
23586507,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z4,0,0,100,,3000,3000.0,5300420983.0,0.0,1,42,010102000,ST,0
00100038,708551,,0,0,0,0,F,,208,208.0,Z010,Y6,900,26337,1,E11,2800,,5300149257.0,0.0,1,42,070300000,ST,0
00265186,700985,,0,0,0,0,F,,203,203.0,Z005,Y2,1440,2693,100,E13,2000,,5300140969.0,0.0,1,49,090300000,ST,0
60058655,701834,,0,0,0,0,F,,206,206.0,Z001,Y4,30000,174000,100,E15,2100,,5300449168.0,0.0,1,50,530300000,ST,1
60105693,704926,,0,0,0,0,F,30.0,232,232.0,Z001,Z1,0,0,1,,2100,,5300520858.0,3.0,1,100,10403000,ST,0
33420500UB,701318,,0,0,0,0,F,30.0,202,202.0,Z001,Z1,0,0,1,,2000,,5300071429.0,0.0,1,42,10402000,ST,0
04000239,706803,,0,0,0,0,F,,272,272.0,Z012,Z1,60,1345,1,,3000,,5300105538.0,0.0,1,14,999999999,ST,1
36033515,1900,,0,0,0,0,F,,272,272.0,Z012,Y4,20,228,100,E11,3000,,5300097309.0,0.0,1,17,010102000,ST,0
00170088,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y2,370,1073,1,E13,3000,3000.0,5300203696.0,0.0,1,35,050100000,ST,0
00111504,706925,,0,0,0,0,F,,212,212.0,Z001,Z1,1130,9947,100,,2000,,5300195178.0,0.0,1,28,071000000,ST,1
34662503UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,100,,3000,3000.0,5300282506.0,0.0,1,68,10102000,ST,0
33648700,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,20,11433,1,,3000,3000.0,5300275390.0,0.0,1,35,010401000,ST,0
24586700,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300249398.0,0.0,1,42,10403000,ST,0
60014701,709741,,0,0,0,0,F,,213,213.0,Z008,X5,0,0,1,E20,3000,,5300362820.0,0.0,1,42,10403000,ST,1
24613104,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Y3,0,0,100,E13,3000,3000.0,5300250016.0,0.0,1,999,010102000,ST,0
23874050UB,704926,,0,0,0,0,F,,223,223.0,Z001,Z6,0,0,1,,2000,,5300162694.0,0.0,1,42,10401000,ST,0
00270055,701216,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300007172.0,0.0,1,21,090300000,ST,0
96184050,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,100,,3000,3000.0,5300316759.0,0.0,1,42,010102000,ST,0
00310543,700131,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,100,,2000,,5300002528.0,0.0,1,21,110100000,ST,0
00200048,700020,,0,0,0,0,F,,208,208.0,Z011,X4,28220,10582,100,E20,2000,,5300189537.0,0.0,1,42,100202000,ST,0
60096004,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,100,,3000,3000.0,5300500224.0,0.0,1,10,010102000,ST,0
00346061,702686,,0,0,0,0,F,,215,215.0,Z003,Y4,90,160968,1,E13,3000,,5300074914.0,0.0,1,84,080100000,ST,0
60093125,715200,,0,0,0,0,F,,232,232.0,Z001,Z1,20,29994,1,,2100,,5300545268.0,0.0,1,999,010401000,ST,1
04000634,704714,,0,0,0,0,F,,277,277.0,Z012,Y4,80,32558,1,E11,3000,,5300380587.0,0.0,1,28,050500000,ST,1
60018904,2100,,0,0,0,0,F,41.0,208,208.0,Z008,Z2,0,0,1,,2000,3000.0,5300418847.0,0.0,1,2,100202000,ST,0
23295600,1000,,0,0,0,0,F,,991,991.0,Z003,Z5,0,0,1,,2000,,5300466328.0,0.0,2,3,010401000,ST,0
34761201UB,715646,,0,0,0,0,F,40.0,228,228.0,Z010,Y2,0,0,1,E11,3000,,5300509306.0,0.0,1,28,10102000,ST,0
00100478,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,0,0,100,,3000,3000.0,5300137938.0,0.0,1,21,140700000,ST,0
00310698,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,20,8604,1,,3000,3000.0,5300208389.0,0.0,1,112,090100000,ST,0
00121029,706985,,0,0,0,0,F,,708,708.0,Z010,Y4,120,8568,100,E13,2000,,5300377859.0,0.0,1,42,070400000,ST,0
00290189,703392,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300015104.0,0.0,15,21,131100000,ST,1
33428500UB,702399,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E14,2000,,5300073719.0,0.0,1,42,10402000,ST,0
00390878,2000,,0,0,0,0,F,40.0,206,206.0,Z001,Z7,5890,24162,100,,2100,2100.0,5300062681.0,0.0,1,10,530300000,ST,0
31132000UB,2000,,0,0,0,0,F,40.0,213,213.0,Z012,EX,0,0,1,,3000,3000.0,5300529387.0,0.0,1,42,10405000,ST,0
01554304UB,711636,,0,0,0,0,F,,711,711.0,Z002,Y3,0,0,1,E14,2100,,5300362538.0,0.0,1,28,10102000,ST,0
24350401UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,100,,3000,3000.0,5300245121.0,0.0,1,28,10102000,ST,0
00330126,700535,,0,0,0,0,F,,233,233.0,Z011,Z1,80,340912,1,,3000,,5300007397.0,0.0,1,133,110400000,ST,0
24632704UB,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,100,E19,2100,,5300084905.0,0.0,1,28,10102000,ST,0
60029366,2100,,0,0,0,0,F,41.0,228,228.0,Z012,Z1,0,0,100,,3000,3000.0,5300385706.0,0.0,1,56,0,ST,0
60035373,3000,,0,0,0,0,F,42.0,231,231.0,Z001,Z9,200,30676,1,,2100,2100.0,5300529272.0,0.0,1,7,100201000,ST,1
00347112,704798,,0,0,0,0,F,,276,276.0,Z012,Y4,70,4615,100,E13,3000,,5300157242.0,0.0,1,14,080600000,ST,0
34033900,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300276805.0,0.0,1,25,550100000,ST,0
00120816,706985,,0,0,0,0,F,,708,708.0,Z010,Y2,100,491,1,E13,2000,,5300359480.0,0.0,1,42,070400000,ST,0
00180125,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Y4,295000,33121,1000,E13,3000,3000.0,5300181061.0,0.0,1,63,100300000,MM,0
60085171,700222,,0,0,0,0,F,,208,208.0,Z011,Y3,0,0,1,E11,2000,,5300477525.0,0.0,1,21,070400000,ST,0
00340072,702515,,0,0,0,0,F,,215,215.0,Z001,Z1,0,0,1,,2100,,5300008557.0,0.0,1,21,080500000,ST,1
90230427,2000,,0,0,0,0,F,40.0,206,206.0,Z012,Y4,0,0,100,E11,3000,3000.0,5300300265.0,0.0,1,999,520200000,ST,0
60071340,708008,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300505409.0,0.0,1,30,520200000,ST,0
04003356,711970,,0,0,0,0,F,,273,273.0,Z012,Y4,20,66378,1,E13,3000,,5300193598.0,0.0,1,42,LEEB,ST,1
04002034,708105,,0,0,0,0,F,,279,279.0,Z001,Z7,30,558347,1,,3000,,5300134981.0,0.0,1,28,131400000,ST,0
492860,2000,,0,0,0,0,F,40.0,215,215.0,Z012,Z1,0,0,1,,3000,3000.0,5300293952.0,0.0,1,35,80400000,ST,0
04007236,707144,,0,0,0,0,F,,279,279.0,Z001,Y4,50,56,100,E11,3000,,5300161598.0,0.0,1,56,131400000,ST,0
23780400UB,708534,,0,0,0,0,F,,228,228.0,Z010,Z2,0,0,1,,2000,,5300143480.0,0.0,1,56,10403000,ST,0
33360401,701806,,0,0,0,0,F,,208,208.0,Z011,V4,720,3276,100,E98,2100,,5300171557.0,0.0,2,42,140100000,ST,0
00200011,701256,,0,0,0,0,F,,215,215.0,Z001,Y2,0,0,1,E13,2100,,5300002251.0,0.0,1,35,100100000,ST,0
80641702,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,100,,3000,3000.0,5300411083.0,0.0,1,999,520100000,ST,0
28151611,700151,,0,0,0,0,F,,233,233.0,Z011,Y4,780,9045,100,E15,2100,,5300093397.0,0.0,1,42,010301000,ST,0
60051102,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300415478.0,0.0,1,42,10403000,ST,0
80490306,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y9,0,0,100,E11,3000,3000.0,5300295508.0,0.0,1,999,520100000,ST,0
00430097,709173,,0,0,0,0,F,,215,215.0,Z001,Z1,0,0,1,,2000,,5300155073.0,0.0,15,112,130900000,ST,1
60033896,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300386459.0,0.0,1,29,010102000,ST,0
95110171,703667,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,2000,,5300547896.0,0.0,1,30,530800000,PAK,1
60037443,701710,,0,0,0,0,F,,208,208.0,Z008,Y4,0,0,100,E14,2100,,5300393871.0,0.0,1,70,100202000,ST,0
60053488,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300421138.0,0.0,1,28,010102000,ST,0
24933402,2000,,0,0,0,0,F,40.0,216,216.0,Z012,Z1,0,0,1,,3000,3000.0,5300256021.0,0.0,1,999,60200000,ST,0
33422901UB,704276,,0,0,0,0,F,,228,228.0,Z001,Y2,0,0,1,E14,2100,,5300171009.0,0.0,1,42,10305000,ST,0
60106851,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300529972.0,0.0,1,10,00,ST,0
00180003,702447,,0,0,0,0,F,,215,215.0,Z001,Y4,0,0,1000,E13,2000,,5300094740.0,0.0,1,28,100300000,MM,0
24118902UB,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,1,,3000,3000.0,5300242643.0,0.0,1,42,10401000,ST,0
04005263,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,0
23324600UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z3,0,0,1,,3000,3000.0,5300233117.0,0.0,1,42,10401000,ST,0
00380032,706743,,0,0,0,0,F,30.0,706,706.0,Z008,Y9,0,0,1,E13,3000,,5300094290.0,3.0,1,14,550100000,ST,1
04005804,700417,,0,0,0,0,F,,707,707.0,Z003,Y4,0,0,100,E13,2000,,5300119170.0,0.0,1,14,140000000,ST,0
33010106,706671,,0,0,0,0,F,,233,233.0,Z001,Y4,0,0,1,E13,2700,,5300369569.0,0.0,1,42,010301000,ST,0
21268305,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,100,E19,2100,,5300119973.0,0.0,1,28,010102000,ST,0
23077303,708094,,0,0,0,0,F,,211,211.0,Z010,X3,30,1009,1,E13,2100,,5300543224.0,0.0,1,35,070500000,ST,0
24657700UB,2000,,0,0,0,0,F,40.0,228,228.0,Z012,Z3,0,0,1,,3000,3000.0,5300251137.0,0.0,1,42,10402000,ST,0
36040500UB,1000,,0,0,0,0,F,,991,991.0,Z008,Z5,0,0,1,,2100,,5300123252.0,0.0,1,3,10401000,ST,0
23497400UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,1,,3000,3000.0,5300234413.0,0.0,1,42,10401000,ST,0
04003660,701348,,0,0,0,0,F,,279,279.0,Z001,Y4,0,0,1000,E15,3000,,5300453857.0,0.0,1,84,LEEB,ST,0
25020330,1900,,0,0,0,0,F,,279,279.0,Z001,Y4,220,22319,100,E11,3000,,5300083609.0,0.0,1,28,060100000,ST,0
23515500,2000,,0,0,0,0,F,40.0,203,203.0,Z003,Z5,0,0,1,,2100,2100.0,5300234733.0,0.0,3,3,080300000,ST,0
35170402UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,1,,3000,3000.0,5300288138.0,0.0,1,999,10102000,ST,0
00111078,705960,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300093266.0,0.0,1,28,131200000,ST,0
23787800,2000,,0,0,0,0,F,40.0,252,252.0,Z012,Z4,0,0,1,,3000,3000.0,5300237842.0,0.0,1,365,550100000,ST,0
34884134,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,100,,3000,3000.0,5300285551.0,0.0,1,28,10102000,ST,0
486795,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z2,30,28615,1,,3000,3000.0,5300293817.0,0.0,1,21,131500000,ST,0
60103969,715646,,0,0,0,0,F,,228,228.0,Z001,Z2,340,10102,100,,2000,,5300520818.0,0.0,1,35,010502000,ST,0
00170260,700418,,0,0,0,0,F,,203,203.0,Z001,Y2,0,0,100,E13,2100,,5300095651.0,0.0,1,56,050100000,ST,1
24881703UB,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z7,0,0,100,,3000,3000.0,5300254756.0,0.0,1,42,10102000,ST,0
00371093,706261,,0,0,0,0,F,,272,272.0,Z012,Z1,1830,238,100,,3000,,,,1,7,140100000,ST,0
34439601UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2000,,5300086585.0,0.0,1,28,10102000,ST,0
24017328UB,2100,,0,0,0,0,F,41.0,202,202.0,Z012,Z5,0,0,100,,3000,2000.0,5300198178.0,0.0,1,999,040400000,ST,0
00310109,700020,,0,0,0,0,F,,708,708.0,Z011,X4,0,0,100,E20,2100,,5300018518.0,0.0,1,14,140200000,ST,0
04004013,1900,,0,0,0,0,F,,272,272.0,Z012,Z1,10,31225,1,,3000,,5300151526.0,0.0,1,10,080600000,ST,0
24415110,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,100,E20,2000,,5300135840.0,0.0,1,28,010102000,ST,0
19021300,2000,,0,0,0,0,F,40.0,233,233.0,Z012,Y2,0,0,1,E11,3000,3000.0,5300226250.0,0.0,1,28,10401000,ST,0
00110670-02,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z3,50,1275,1,,3000,3000.0,5300390665.0,0.0,1,84,070600000,ST,0
35154600,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300287881.0,0.0,1,42,110200000,ST,0
24736250UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300167101.0,0.0,1,42,10402000,ST,0
00370614,701806,5500003968.0,10,4,4,60,F,,708,708.0,Z008,V5,56150,39877,100,E98,2100,,5300374713.0,0.0,2,4,140300000,ST,0
00386110,708008,,0,0,0,0,F,,998,998.0,Z001,Z1,0,0,100,,2100,,5300186569.0,0.0,1,14,120000000,ST,0
23797800,715408,4600012924.0,10,56,0,0,F,,223,223.0,Z004,TB,10,247215,1,,2100,,5300435087.0,0.0,1,56,10403000,ST,0
23103006,709558,,0,0,0,0,F,,228,228.0,Z001,Y3,0,0,1,E13,2100,,5300453864.0,0.0,1,35,010304000,ST,0
34993900UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z0,0,0,1,,2100,,5300171345.0,0.0,1,42,10401000,ST,0
36020242,1900,,0,0,0,0,F,,219,219.0,Z001,Z1,0,0,1,,2100,,5300109183.0,0.0,1,5,010502000,ST,0
00392451,2000,,0,0,0,0,F,40.0,206,206.0,Z012,Z1,0,0,1,,3000,3000.0,5300215574.0,0.0,1,999,520300000,ST,0
00423281,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300219650.0,0.0,1,999,10103000,ST,0
60114066,715200,,0,0,0,0,F,,232,232.0,Z001,Z1,0,0,1,,2100,,5300541509.0,0.0,1,999,10401000,ST,1
00230070,700020,,0,0,0,0,F,,708,708.0,Z011,X4,0,0,100,E20,2100,,5300005500.0,0.0,1,12,140700000,ST,0
60009941,709124,,0,0,0,0,F,,276,276.0,Z012,Y4,30,74536,1,E13,3000,,5300376110.0,0.0,1,140,080100000,ST,1
04001175,700417,,0,0,0,0,F,40.0,207,207.0,Z003,Z1,0,0,100,,2100,,5300470797.0,0.0,1,3,100201000,ST,0
00150028,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300059510.0,0.0,1,3,140700000,ST,0
95101013,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300063979.0,0.0,1,3,010103000,ST,0
00400675,701317,,0,0,0,0,F,,211,211.0,Z010,Y4,0,0,1000,E12,2100,,5300020171.0,0.0,1,28,010100000,MM,1
00120711,700339,5500009011.0,10,21,21,84,F,,708,708.0,Z011,Y4,100,15152,1,E12,2000,,5300061353.0,0.0,1,42,70400000,ST,1
80400151,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y3,0,0,1,E11,3000,3000.0,5300294973.0,0.0,1,14,520100000,ST,0
00310454,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,1,,3000,3000.0,5300208170.0,0.0,1,84,60100000,ST,0
60049614,708008,,0,0,0,0,F,,203,203.0,Z008,Y2,60,564,100,E11,2000,,5300416188.0,0.0,1,14,120000000,ST,0
34942792,2000,,0,0,0,0,F,40.0,252,252.0,Z012,Z4,0,0,1,,3000,3000.0,5300412755.0,0.0,1,999,550100000,ST,0
24628500,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300405292.0,0.0,1,42,10401000,ST,0
00385409UB,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,1,,3000,3000.0,5300214440.0,0.0,1,999,130100000,ST,0
82011203UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2100,,5300066624.0,0.0,1,28,10102000,ST,0
00346485,708235,5500000851.0,20,14,14,42,F,,715,715.0,Z008,Y7,970,57472,100,E13,2000,,5300137071.0,0.0,1,42,80200000,ST,1
00290186,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,1,,3000,3000.0,5300207067.0,0.0,1,35,131100000,ST,0
00360155,700020,,0,0,0,0,F,,208,208.0,Z011,X4,60,9948,1,E20,2000,,5300017176.0,0.0,1,49,140100000,ST,0
60045741,702686,,0,0,0,0,F,,215,215.0,Z003,Y4,0,0,1,E13,2000,,5300409518.0,0.0,1,84,080100000,ST,0
34280210,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,0,0,1,,3000,3000.0,5300199300.0,0.0,1,29,010102000,ST,0
00346386,708038,,0,0,0,0,F,,215,215.0,Z001,Y6,110,19908,100,E11,2000,,5300136429.0,0.0,1,84,080100000,ST,0
35020189,1900,,0,0,0,0,F,,206,206.0,Z001,Y4,0,0,100,E11,2000,,5300082168.0,0.0,1,5,010102000,ST,0
36068300,2000,,0,0,0,0,F,,996,998.0,Z012,EX,0,0,1,,3000,3000.0,5300291706.0,0.0,1,999,10401000,ST,0
00360686,706261,,0,0,0,0,F,,272,272.0,Z012,Y4,500,3865,100,E13,3000,,5300120888.0,0.0,1,7,140100000,ST,0
04003888,708105,,0,0,0,0,F,,279,279.0,Z001,Z7,20,1372,100,,3000,,5300135138.0,0.0,1,28,LEEB,ST,0
31013800UB,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z5,0,0,1,,3000,3000.0,5300270093.0,0.0,1,42,10401000,ST,0
60026605,2000,,0,0,0,0,F,40.0,989,998.0,Z012,Z1,0,0,1,,3000,3000.0,5300380892.0,0.0,1,999,0,ST,0
23923212UB,711636,,0,0,0,0,F,,711,711.0,Z001,Z1,0,0,100,,2100,,5300188574.0,0.0,1,14,10102000,ST,0
34483512,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,1,,2100,,5300042603.0,0.0,1,28,010102000,ST,0
60039630,708008,,0,0,0,0,F,,703,703.0,Z008,Y2,1030,6025,100,E11,2100,,5300392132.0,0.0,1,14,120000000,ST,0
00380942,708008,,0,0,0,0,F,,703,703.0,Z008,Y2,0,0,100,E11,2000,,5300126834.0,0.0,1,14,120000000,ST,0
